<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.03.30	10:00:00	576.56	576.69	576.44	576.69	8	264	0
2023.03.30	10:15:00	576.69	576.69	576.44	576.44	28	1320	0
2023.03.30	10:30:00	576.44	577.19	576.44	577.06	28	1320	0
2023.03.30	10:45:00	577.06	577.94	576.69	577.56	39	1320	0
2023.03.30	11:00:00	577.56	577.56	577.06	577.19	30	1320	0
2023.03.30	11:15:00	577.19	577.44	576.94	577.19	42	1320	0
2023.03.30	11:30:00	577.19	577.31	577.06	577.06	22	1320	0
2023.03.30	11:45:00	577.06	578.06	577.06	577.19	39	1320	0
2023.03.30	12:00:00	577.19	578.19	577.19	578.19	45	1320	0
2023.03.30	12:15:00	578.19	578.69	577.81	578.06	45	1320	0
2023.03.30	12:30:00	578.06	578.44	577.81	578.44	25	1320	0
2023.03.30	12:45:00	578.44	578.69	577.81	577.81	32	1320	0
2023.03.30	13:00:00	577.81	578.44	577.81	578.31	27	1320	0
2023.03.30	13:15:00	578.44	578.56	578.19	578.31	35	1320	0
2023.03.30	13:30:00	578.19	578.69	577.94	578.56	23	1320	0
2023.03.30	13:45:00	578.56	578.69	578.44	578.69	24	1320	0
2023.03.30	14:00:00	578.69	579.19	578.69	579.19	22	1320	0
2023.03.30	14:15:00	579.19	579.69	578.94	579.56	31	1320	0
2023.03.30	14:30:00	579.56	579.69	579.19	579.19	26	1320	0
2023.03.30	14:45:00	579.19	579.44	579.19	579.44	27	1320	0
2023.03.30	15:00:00	579.44	579.69	579.19	579.19	26	1320	0
2023.03.30	15:15:00	579.19	579.44	578.94	579.19	22	1320	0
2023.03.30	15:30:00	579.19	579.94	579.06	579.31	73	1320	0
2023.03.30	16:30:00	578.81	580.19	578.19	578.44	163	1320	0
2023.03.30	16:45:00	578.44	578.69	577.94	578.19	93	1320	0
2023.03.30	17:00:00	578.19	579.19	578.19	578.94	57	1320	0
2023.03.30	17:15:00	578.94	579.69	578.69	579.44	67	1320	0
2023.03.30	17:30:00	579.44	579.94	578.69	579.81	108	1320	0
2023.03.30	17:45:00	579.94	579.94	578.19	578.19	49	1320	0
2023.03.30	18:00:00	578.19	579.19	577.94	577.94	61	1320	0
2023.03.30	18:15:00	577.94	578.69	576.81	576.94	94	1320	0
2023.03.30	18:30:00	576.94	577.19	576.44	577.19	48	1320	0
2023.03.30	18:45:00	577.19	577.44	576.44	576.69	56	1320	0
2023.03.30	19:00:00	576.69	577.44	576.69	576.94	77	1320	0
2023.03.30	19:15:00	576.94	578.06	576.94	577.69	61	1320	0
2023.03.30	19:30:00	577.69	577.94	577.56	577.94	68	1320	0
2023.03.30	19:45:00	577.94	578.94	577.94	578.44	55	1320	0
2023.03.30	20:00:00	578.44	578.44	577.94	578.19	54	1320	0
2023.03.30	20:15:00	578.19	578.44	577.94	577.94	36	1320	0
2023.03.30	20:30:00	577.94	578.44	577.69	577.69	59	1320	0
2023.03.30	20:45:00	577.69	578.06	576.94	577.94	56	1320	0
2023.03.30	21:00:00	577.94	577.94	575.94	576.31	108	1320	0
2023.03.30	21:15:00	576.44	576.81	576.19	576.69	35	440	0
2023.03.31	03:00:00	575.44	575.69	574.94	575.31	91	1320	0
2023.03.31	03:15:00	575.31	575.44	574.94	575.31	25	1320	0
2023.03.31	03:30:00	575.31	576.06	575.06	576.06	29	1320	0
2023.03.31	03:45:00	576.06	576.06	575.69	575.69	26	1320	0
2023.03.31	04:00:00	575.69	575.81	575.44	575.44	34	1320	0
2023.03.31	04:15:00	575.44	575.81	575.44	575.81	28	1320	0
2023.03.31	04:30:00	575.81	575.81	575.44	575.56	30	1320	0
2023.03.31	04:45:00	575.56	575.56	575.44	575.56	18	1320	0
2023.03.31	05:00:00	575.56	575.69	575.44	575.56	19	1232	0
2023.03.31	05:15:00	575.56	575.56	575.44	575.44	15	1320	0
2023.03.31	05:30:00	575.44	575.56	575.31	575.56	20	1320	0
2023.03.31	05:45:00	575.56	575.56	575.19	575.31	18	1320	0
2023.03.31	06:00:00	575.31	575.31	574.94	575.06	17	1232	0
2023.03.31	06:15:00	575.06	575.31	575.06	575.31	23	1232	0
2023.03.31	06:30:00	575.31	575.44	575.31	575.31	16	1320	0
2023.03.31	06:45:00	575.31	575.44	575.31	575.31	16	1232	0
2023.03.31	07:00:00	575.31	575.56	575.31	575.44	16	1144	0
2023.03.31	07:15:00	575.44	575.44	575.31	575.31	18	1320	0
2023.03.31	07:30:00	575.31	575.31	575.19	575.31	19	1232	0
2023.03.31	07:45:00	575.31	575.44	575.31	575.31	15	1144	0
2023.03.31	08:00:00	575.31	575.44	575.31	575.44	16	1320	0
2023.03.31	08:15:00	575.31	575.69	575.31	575.56	19	1232	0
2023.03.31	08:30:00	575.56	576.19	575.56	576.19	23	1320	0
2023.03.31	08:45:00	576.19	576.19	575.81	575.94	19	1320	0
2023.03.31	09:00:00	575.94	576.06	575.94	576.06	17	1320	0
2023.03.31	09:15:00	576.06	576.06	575.81	575.81	17	1320	0
2023.03.31	09:30:00	575.81	575.94	575.69	575.94	20	1320	0
2023.03.31	09:45:00	575.94	576.19	575.94	576.06	20	1320	0
2023.03.31	10:00:00	576.06	576.19	575.94	576.19	24	1320	0
2023.03.31	10:15:00	576.19	576.19	575.19	575.31	42	1320	0
2023.03.31	10:30:00	575.44	575.56	575.19	575.44	35	1320	0
2023.03.31	10:45:00	575.56	575.69	575.19	575.19	30	1320	0
2023.03.31	11:00:00	575.19	575.19	574.94	575.19	21	1320	0
2023.03.31	11:15:00	575.19	576.19	575.19	576.19	24	1320	0
2023.03.31	11:30:00	576.19	576.44	576.19	576.44	29	1320	0
2023.03.31	11:45:00	576.44	576.44	575.94	576.19	35	1320	0
2023.03.31	12:00:00	576.19	576.44	575.94	576.19	22	1320	0
2023.03.31	12:15:00	576.19	576.44	575.94	576.44	27	1320	0
2023.03.31	12:30:00	576.44	576.44	575.69	575.81	27	1320	0
2023.03.31	12:45:00	575.81	576.19	575.56	576.19	26	1320	0
2023.03.31	13:00:00	576.19	576.69	576.19	576.69	18	1320	0
2023.03.31	13:15:00	576.69	576.69	576.19	576.44	30	1320	0
2023.03.31	13:30:00	576.44	577.06	576.44	576.81	31	1320	0
2023.03.31	13:45:00	576.81	576.94	576.69	576.94	24	1320	0
2023.03.31	14:00:00	576.69	577.19	576.69	576.94	30	1320	0
2023.03.31	14:15:00	576.94	577.31	576.56	576.69	28	1320	0
2023.03.31	14:30:00	576.69	577.19	576.44	577.19	32	1320	0
2023.03.31	14:45:00	577.19	577.19	576.69	576.69	25	1320	0
2023.03.31	15:00:00	576.69	577.19	576.69	576.94	29	1320	0
2023.03.31	15:15:00	576.94	576.94	576.56	576.69	26	1320	0
2023.03.31	15:30:00	576.69	576.94	576.31	576.31	27	1320	0
2023.03.31	16:30:00	575.56	576.19	574.56	575.44	200	1320	0
2023.03.31	16:45:00	575.44	576.19	574.69	575.06	106	1320	0
2023.03.31	17:00:00	574.94	576.31	574.69	576.19	92	1320	0
2023.03.31	17:15:00	576.19	577.44	575.94	577.44	96	1320	0
2023.03.31	17:30:00	577.44	577.94	576.69	577.19	95	1320	0
2023.03.31	17:45:00	577.19	578.19	577.19	577.94	69	1320	0
2023.03.31	18:00:00	577.94	579.19	577.56	579.19	81	1320	0
2023.03.31	18:15:00	579.19	579.69	578.69	579.19	78	1320	0
2023.03.31	18:30:00	579.19	580.94	579.19	580.19	93	1320	0
2023.03.31	18:45:00	580.19	580.19	578.44	578.81	116	1320	0
2023.03.31	19:00:00	578.81	582.69	568.56	575.81	671	1320	0
2023.03.31	19:15:00	575.81	577.94	575.56	576.44	317	1320	0
2023.03.31	19:30:00	576.44	576.44	574.69	575.44	183	1320	0
2023.03.31	19:45:00	575.56	575.69	571.94	572.94	145	1320	0
2023.03.31	20:00:00	572.94	575.19	572.94	574.94	153	1320	0
2023.03.31	20:15:00	574.94	575.94	574.69	575.44	121	1320	0
2023.03.31	20:30:00	575.44	576.44	575.19	576.44	105	1320	0
2023.03.31	20:45:00	576.31	576.69	575.06	576.44	136	1320	0
2023.03.31	21:00:00	576.44	577.19	575.94	577.06	124	1320	0
2023.03.31	21:15:00	577.06	577.31	576.44	576.69	62	440	0
2023.04.03	03:00:00	576.94	581.94	576.94	581.94	181	1320	0
2023.04.03	03:15:00	581.94	582.94	581.19	582.94	79	1320	0
2023.04.03	03:30:00	582.94	583.69	582.81	583.44	43	1320	0
2023.04.03	03:45:00	583.44	583.56	582.44	582.44	28	1320	0
2023.04.03	04:00:00	582.44	582.94	581.44	581.56	70	1320	0
2023.04.03	04:15:00	581.56	581.81	581.31	581.31	38	1320	0
2023.04.03	04:30:00	581.31	581.44	581.19	581.31	29	1232	0
2023.04.03	04:45:00	581.31	581.81	581.31	581.56	25	1320	0
2023.04.03	05:00:00	581.56	581.94	581.56	581.94	20	1320	0
2023.04.03	05:15:00	581.94	581.94	581.56	581.56	29	1320	0
2023.04.03	05:30:00	581.56	581.69	581.56	581.56	27	1320	0
2023.04.03	05:45:00	581.56	581.69	581.44	581.44	21	1320	0
2023.04.03	06:00:00	581.44	581.44	581.31	581.31	18	1320	0
2023.04.03	06:15:00	581.31	581.31	581.19	581.31	17	1320	0
2023.04.03	06:30:00	581.31	581.31	581.31	581.31	15	1320	0
2023.04.03	06:45:00	581.31	581.31	581.31	581.31	12	1056	0
2023.04.03	07:00:00	581.31	581.31	581.31	581.31	13	1144	0
2023.04.03	07:15:00	581.31	581.31	581.06	581.06	19	1232	0
2023.04.03	07:30:00	581.06	581.06	580.94	580.94	19	1232	0
2023.04.03	07:45:00	580.94	580.94	580.94	580.94	14	1232	0
2023.04.03	08:00:00	580.94	580.94	580.81	580.94	19	1320	0
2023.04.03	08:15:00	580.94	580.94	580.94	580.94	12	1056	0
2023.04.03	08:30:00	580.94	580.94	580.94	580.94	15	1320	0
2023.04.03	08:45:00	580.94	580.94	580.94	580.94	15	1320	0
2023.04.03	09:00:00	580.94	580.94	580.94	580.94	13	1144	0
2023.04.03	09:15:00	580.94	580.94	580.94	580.94	15	1320	0
2023.04.03	09:30:00	580.94	581.31	580.94	581.31	22	1320	0
2023.04.03	09:45:00	581.31	581.44	581.31	581.44	16	1320	0
2023.04.03	10:00:00	581.44	581.94	581.19	581.94	21	1320	0
2023.04.03	10:15:00	581.94	582.19	581.69	582.19	25	1320	0
2023.04.03	10:30:00	582.19	582.19	581.69	581.69	32	1320	0
2023.04.03	10:45:00	581.81	582.56	581.81	582.56	35	1320	0
2023.04.03	11:00:00	582.56	583.19	582.44	582.44	30	1320	0
2023.04.03	11:15:00	582.44	582.69	581.94	581.94	23	1320	0
2023.04.03	11:30:00	581.94	581.94	581.31	581.31	30	1320	0
2023.04.03	11:45:00	581.19	581.81	581.06	581.44	36	1320	0
2023.04.03	12:00:00	581.31	581.69	581.31	581.56	37	1320	0
2023.04.03	12:15:00	581.56	581.56	581.19	581.44	34	1320	0
2023.04.03	12:30:00	581.44	582.06	581.19	581.94	23	1320	0
2023.04.03	12:45:00	581.94	582.06	581.44	581.69	35	1320	0
2023.04.03	13:00:00	581.69	582.31	581.69	582.19	20	1320	0
2023.04.03	13:15:00	582.19	582.44	581.94	582.19	19	1232	0
2023.04.03	13:30:00	582.19	582.19	581.56	581.94	30	1320	0
2023.04.03	13:45:00	581.94	582.06	581.44	582.06	30	1320	0
2023.04.03	14:00:00	582.06	582.44	581.94	582.44	27	1320	0
2023.04.03	14:15:00	582.44	582.44	582.19	582.44	17	1320	0
2023.04.03	14:30:00	582.44	583.19	582.44	583.19	23	1320	0
2023.04.03	14:45:00	583.19	583.56	582.94	583.19	40	1320	0
2023.04.03	15:00:00	583.19	583.44	582.94	583.19	31	1320	0
2023.04.03	15:15:00	583.19	583.44	582.94	583.06	33	1320	0
2023.04.03	15:30:00	583.06	583.44	582.44	582.69	43	1320	0
2023.04.03	16:30:00	582.31	582.94	580.94	582.94	184	1320	0
2023.04.03	16:45:00	582.94	584.81	582.94	583.56	141	1320	0
2023.04.03	17:00:00	583.69	585.19	582.94	584.94	108	1320	0
2023.04.03	17:15:00	584.94	585.19	583.44	585.19	77	1320	0
2023.04.03	17:30:00	585.19	585.94	583.19	583.94	115	1320	0
2023.04.03	17:45:00	583.94	583.94	582.94	583.19	66	1320	0
2023.04.03	18:00:00	583.19	583.19	580.19	580.69	100	1320	0
2023.04.03	18:15:00	580.69	581.19	580.44	580.69	77	1320	0
2023.04.03	18:30:00	580.69	581.69	579.44	581.19	108	1320	0
2023.04.03	18:45:00	580.94	580.94	579.94	580.94	61	1320	0
2023.04.03	19:00:00	580.94	580.94	579.19	579.44	51	1320	0
2023.04.03	19:15:00	579.44	579.69	578.44	579.69	61	1320	0
2023.04.03	19:30:00	579.69	579.69	578.94	579.19	44	1320	0
2023.04.03	19:45:00	579.31	580.19	579.19	580.19	32	1320	0
2023.04.03	20:00:00	580.19	580.44	579.94	579.94	50	1320	0
2023.04.03	20:15:00	579.94	580.19	579.44	579.44	30	1320	0
2023.04.03	20:30:00	579.44	579.44	578.19	578.44	31	1320	0
2023.04.03	20:45:00	578.44	579.44	577.94	578.19	55	1320	0
2023.04.03	21:00:00	578.19	578.44	575.94	577.94	88	1320	0
2023.04.03	21:15:00	577.94	578.19	576.81	576.81	28	440	0
2023.04.04	03:00:00	576.94	577.56	576.69	577.56	67	1320	0
2023.04.04	03:15:00	577.56	577.81	577.44	577.69	29	1320	0
2023.04.04	03:30:00	577.69	577.81	577.56	577.56	16	1232	0
2023.04.04	03:45:00	577.56	577.69	577.56	577.56	16	1232	0
2023.04.04	04:00:00	577.56	578.06	577.44	577.56	31	1320	0
2023.04.04	04:15:00	577.56	577.94	577.56	577.94	22	1320	0
2023.04.04	04:30:00	577.94	578.19	577.69	577.81	36	1320	0
2023.04.04	04:45:00	577.81	577.81	577.19	577.56	24	1320	0
2023.04.04	05:00:00	577.56	577.69	577.31	577.56	22	1320	0
2023.04.04	05:15:00	577.56	577.56	577.56	577.56	15	1320	0
2023.04.04	05:30:00	577.56	577.81	577.56	577.69	23	1320	0
2023.04.04	05:45:00	577.69	577.69	577.44	577.69	20	1232	0
2023.04.04	06:00:00	577.69	577.94	577.69	577.81	20	1320	0
2023.04.04	06:15:00	577.81	577.81	577.69	577.69	13	1056	0
2023.04.04	06:30:00	577.69	577.81	577.69	577.69	18	1232	0
2023.04.04	06:45:00	577.69	577.81	577.69	577.69	13	1144	0
2023.04.04	07:00:00	577.69	577.94	577.69	577.94	14	1144	0
2023.04.04	07:15:00	577.94	577.94	577.81	577.81	14	1144	0
2023.04.04	07:30:00	577.94	577.94	577.81	577.94	19	1320	0
2023.04.04	07:45:00	577.94	578.31	577.94	578.31	15	1144	0
2023.04.04	08:00:00	578.31	578.44	578.19	578.19	16	1144	0
2023.04.04	08:15:00	578.19	578.19	577.94	578.06	16	1232	0
2023.04.04	08:30:00	578.06	578.69	578.06	578.44	24	1320	0
2023.04.04	08:45:00	578.44	578.44	578.44	578.44	14	1232	0
2023.04.04	09:00:00	578.06	578.06	577.44	577.44	25	1320	0
2023.04.04	09:15:00	577.44	577.69	577.44	577.69	15	1144	0
2023.04.04	09:30:00	577.69	577.69	577.56	577.69	19	1320	0
2023.04.04	09:45:00	577.69	577.94	577.44	577.94	20	1232	0
2023.04.04	10:00:00	577.94	578.06	577.56	577.94	31	1320	0
2023.04.04	10:15:00	577.94	578.06	577.69	577.81	27	1320	0
2023.04.04	10:30:00	577.81	577.94	577.69	577.94	30	1320	0
2023.04.04	10:45:00	577.94	578.19	577.44	577.44	38	1320	0
2023.04.04	11:00:00	577.44	578.06	577.44	578.06	36	1320	0
2023.04.04	11:15:00	577.94	578.06	577.69	577.81	27	1320	0
2023.04.04	11:30:00	577.81	577.81	575.56	575.69	39	1320	0
2023.04.04	11:45:00	575.69	576.31	575.69	575.81	41	1320	0
2023.04.04	12:00:00	575.81	576.19	574.69	574.69	55	1320	0
2023.04.04	12:15:00	574.69	575.44	574.69	575.19	38	1320	0
2023.04.04	12:30:00	575.19	575.56	574.69	574.69	40	1320	0
2023.04.04	12:45:00	574.69	574.94	574.69	574.81	28	1320	0
2023.04.04	13:00:00	574.81	575.31	574.69	575.06	38	1320	0
2023.04.04	13:15:00	575.06	575.06	574.69	574.69	25	1320	0
2023.04.04	13:30:00	574.69	574.94	573.94	574.81	38	1320	0
2023.04.04	13:45:00	574.81	574.94	574.31	574.56	26	1320	0
2023.04.04	14:00:00	574.69	574.81	574.06	574.06	32	1320	0
2023.04.04	14:15:00	573.94	574.19	573.69	573.94	38	1320	0
2023.04.04	14:30:00	573.94	574.06	573.44	573.94	39	1320	0
2023.04.04	14:45:00	573.94	574.31	573.94	574.19	31	1320	0
2023.04.04	15:00:00	574.19	574.19	572.44	572.81	46	1320	0
2023.04.04	15:15:00	572.94	573.19	571.94	571.94	48	1320	0
2023.04.04	15:30:00	571.94	571.94	570.81	570.94	63	1320	0
2023.04.04	16:30:00	571.56	573.19	570.19	571.69	150	1320	0
2023.04.04	16:45:00	571.69	571.69	570.44	571.06	109	1320	0
2023.04.04	17:00:00	571.06	571.44	570.19	570.94	126	1320	0
2023.04.04	17:15:00	571.06	571.19	570.19	570.94	50	1320	0
2023.04.04	17:30:00	570.94	571.94	570.69	571.94	82	1320	0
2023.04.04	17:45:00	571.94	572.94	571.69	571.94	91	1320	0
2023.04.04	18:00:00	571.94	572.19	570.94	571.19	61	1320	0
2023.04.04	18:15:00	571.19	571.44	570.69	570.69	47	1320	0
2023.04.04	18:30:00	570.69	571.19	569.69	569.94	43	1320	0
2023.04.04	18:45:00	569.94	569.94	568.19	569.44	70	1320	0
2023.04.04	19:00:00	569.44	569.94	569.19	569.44	47	1320	0
2023.04.04	19:15:00	569.69	570.19	569.44	570.19	46	1320	0
2023.04.04	19:30:00	570.19	570.44	569.94	570.19	63	1320	0
2023.04.04	19:45:00	570.31	570.44	570.19	570.19	65	1320	0
2023.04.04	20:00:00	570.19	570.31	568.69	568.94	47	1320	0
2023.04.04	20:15:00	568.94	568.94	568.19	568.19	63	1320	0
2023.04.04	20:30:00	568.19	568.44	567.69	568.19	55	1320	0
2023.04.04	20:45:00	568.19	569.69	568.19	569.69	80	1320	0
2023.04.04	21:00:00	569.69	569.94	568.69	568.69	59	1320	0
2023.04.04	21:15:00	568.81	568.94	568.69	568.94	18	440	0
2023.04.05	03:00:00	569.44	570.19	569.19	569.81	65	1320	0
2023.04.05	03:15:00	569.69	569.69	569.06	569.31	39	1320	0
2023.04.05	03:30:00	569.31	569.56	569.19	569.56	28	1320	0
2023.04.05	03:45:00	569.56	569.56	569.19	569.31	20	1320	0
2023.04.05	04:00:00	569.31	569.94	569.31	569.94	19	1144	0
2023.04.05	04:15:00	569.94	569.94	569.56	569.56	18	1320	0
2023.04.05	04:30:00	569.56	569.56	569.31	569.44	16	1232	0
2023.04.05	04:45:00	569.44	569.44	569.19	569.31	22	1232	0
2023.04.05	05:00:00	569.31	569.44	569.31	569.31	16	1232	0
2023.04.05	05:15:00	569.31	569.31	569.06	569.19	16	1232	0
2023.04.05	05:30:00	569.19	569.44	569.19	569.44	21	1232	0
2023.04.05	05:45:00	569.44	569.56	569.44	569.56	14	1144	0
2023.04.05	06:00:00	569.56	569.56	569.56	569.56	14	1232	0
2023.04.05	06:15:00	569.56	569.56	569.56	569.56	10	880	0
2023.04.05	06:30:00	569.56	569.56	569.56	569.56	12	1056	0
2023.04.05	06:45:00	569.56	569.56	569.44	569.44	15	1144	0
2023.04.05	07:00:00	569.44	569.44	569.44	569.44	14	1232	0
2023.04.05	07:15:00	569.44	569.44	569.44	569.44	9	792	0
2023.04.05	07:30:00	569.44	569.44	569.44	569.44	13	1144	0
2023.04.05	07:45:00	569.44	569.44	569.44	569.44	7	616	0
2023.04.05	08:00:00	569.44	569.56	569.44	569.44	16	1320	0
2023.04.05	08:15:00	569.44	569.56	569.44	569.56	13	1056	0
2023.04.05	08:30:00	569.56	569.56	569.56	569.56	14	1232	0
2023.04.05	08:45:00	569.56	569.56	569.56	569.56	14	1232	0
2023.04.05	09:00:00	569.56	569.69	569.44	569.69	21	1320	0
2023.04.05	09:15:00	569.56	569.56	569.44	569.44	16	1232	0
2023.04.05	09:30:00	569.44	569.69	569.44	569.44	18	1320	0
2023.04.05	09:45:00	569.44	569.56	568.94	569.19	20	1320	0
2023.04.05	10:00:00	569.19	569.19	568.19	568.56	41	1320	0
2023.04.05	10:15:00	568.56	569.19	568.44	569.19	40	1320	0
2023.04.05	10:30:00	569.19	569.44	568.69	568.81	41	1320	0
2023.04.05	10:45:00	568.81	568.81	567.94	568.44	34	1320	0
2023.04.05	11:00:00	568.44	568.56	567.31	567.44	34	1232	0
2023.04.05	11:15:00	567.44	567.56	567.06	567.31	37	1320	0
2023.04.05	11:30:00	567.31	567.44	567.19	567.19	28	1320	0
2023.04.05	11:45:00	567.19	567.44	567.19	567.31	37	1320	0
2023.04.05	12:00:00	567.31	567.31	566.31	566.31	29	1320	0
2023.04.05	12:15:00	566.31	566.44	565.69	566.19	41	1320	0
2023.04.05	12:30:00	566.19	566.69	565.94	566.69	35	1320	0
2023.04.05	12:45:00	566.69	566.94	566.56	566.81	28	1320	0
2023.04.05	13:00:00	566.81	567.31	566.44	567.19	37	1320	0
2023.04.05	13:15:00	567.19	567.19	566.69	567.19	32	1320	0
2023.04.05	13:30:00	567.19	567.19	566.69	566.69	26	1320	0
2023.04.05	13:45:00	566.69	567.06	566.44	566.94	32	1320	0
2023.04.05	14:00:00	566.94	566.94	565.94	565.94	38	1320	0
2023.04.05	14:15:00	566.06	566.44	566.06	566.19	28	1320	0
2023.04.05	14:30:00	566.19	566.19	565.94	566.06	26	1320	0
2023.04.05	14:45:00	566.06	566.19	565.69	565.94	27	1320	0
2023.04.05	15:00:00	565.94	565.94	565.69	565.69	20	1320	0
2023.04.05	15:15:00	565.69	565.94	564.94	565.44	49	1320	0
2023.04.05	15:30:00	565.44	565.44	564.19	564.69	42	1320	0
2023.04.05	16:30:00	565.19	568.31	564.94	568.19	198	1320	0
