<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	7.11614	7.1208	7.11614	7.11614	0	0	0
2024.01.02	00:15:00	7.11614	7.1208	7.11614	7.11849	0	0	0
2024.01.02	00:30:00	7.11849	7.11874	7.11614	7.11825	0	0	0
2024.01.02	00:45:00	7.11825	7.1206	7.11553	7.1206	0	0	0
2024.01.02	01:00:00	7.11781	7.11896	7.11781	7.11896	0	0	0
2024.01.02	01:15:00	7.11896	7.12259	7.11894	7.12239	0	0	0
2024.01.02	01:30:00	7.12239	7.12477	7.12008	7.12359	0	0	0
2024.01.02	01:45:00	7.12359	7.12359	7.11359	7.11478	0	0	0
2024.01.02	02:00:00	7.11478	7.11714	7.11029	7.11604	0	0	0
2024.01.02	02:15:00	7.11609	7.12205	7.11561	7.12094	0	0	0
2024.01.02	02:30:00	7.12097	7.12137	7.11763	7.11816	0	0	0
2024.01.02	02:45:00	7.11816	7.11818	7.11251	7.11258	0	0	0
2024.01.02	03:00:00	7.11258	7.11806	7.11241	7.11727	0	0	0
2024.01.02	03:15:00	7.11712	7.11726	7.10969	7.11106	0	0	0
2024.01.02	03:30:00	7.11099	7.12431	7.11099	7.12407	0	0	0
2024.01.02	03:45:00	7.12397	7.12855	7.11993	7.12637	0	0	0
2024.01.02	04:00:00	7.12637	7.12822	7.12534	7.1272	0	0	0
2024.01.02	04:15:00	7.1272	7.12935	7.12636	7.12837	0	0	0
2024.01.02	04:30:00	7.12837	7.13246	7.12748	7.13154	0	0	0
2024.01.02	04:45:00	7.13154	7.13471	7.13026	7.13415	0	0	0
2024.01.02	05:00:00	7.13415	7.13481	7.13028	7.13201	0	0	0
2024.01.02	05:15:00	7.13197	7.13464	7.1318	7.13253	0	0	0
2024.01.02	05:30:00	7.13237	7.13237	7.13031	7.13139	0	0	0
2024.01.02	05:45:00	7.13139	7.13274	7.13054	7.13195	0	0	0
2024.01.02	06:00:00	7.13195	7.1338	7.13191	7.13308	0	0	0
2024.01.02	06:15:00	7.13308	7.13318	7.1304	7.13057	0	0	0
2024.01.02	06:30:00	7.13057	7.13128	7.1295	7.13128	0	0	0
2024.01.02	06:45:00	7.13128	7.13143	7.13001	7.13027	0	0	0
2024.01.02	07:00:00	7.13027	7.13027	7.12852	7.12857	0	0	0
2024.01.02	07:15:00	7.12857	7.13039	7.12836	7.12878	0	0	0
2024.01.02	07:30:00	7.12878	7.12939	7.12647	7.12665	0	0	0
2024.01.02	07:45:00	7.12662	7.1305	7.12626	7.12945	0	0	0
2024.01.02	08:00:00	7.12945	7.13112	7.12916	7.13049	0	0	0
2024.01.02	08:15:00	7.13049	7.13119	7.12903	7.13007	0	0	0
2024.01.02	08:30:00	7.13007	7.13091	7.12865	7.1309	0	0	0
2024.01.02	08:45:00	7.1309	7.13426	7.13022	7.13256	0	0	0
2024.01.02	09:00:00	7.1327	7.1342	7.13225	7.13412	0	0	0
2024.01.02	09:15:00	7.13412	7.13481	7.13257	7.13257	0	0	0
2024.01.02	09:30:00	7.13253	7.13745	7.13201	7.13619	0	0	0
2024.01.02	09:45:00	7.13619	7.13727	7.13561	7.13692	0	0	0
2024.01.02	10:00:00	7.13692	7.1373	7.13486	7.13517	0	0	0
2024.01.02	10:15:00	7.13522	7.13767	7.13514	7.1372	0	0	0
2024.01.02	10:30:00	7.1372	7.13944	7.13691	7.13911	0	0	0
2024.01.02	10:45:00	7.13911	7.13937	7.13883	7.13906	0	0	0
2024.01.02	11:00:00	7.13906	7.13906	7.13804	7.13822	0	0	0
2024.01.02	11:15:00	7.13822	7.13866	7.13786	7.13802	0	0	0
2024.01.02	11:30:00	7.13802	7.13826	7.13709	7.13762	0	0	0
2024.01.02	11:45:00	7.13765	7.1398	7.13762	7.1389	0	0	0
2024.01.02	12:00:00	7.13893	7.14408	7.13858	7.14328	0	0	0
2024.01.02	12:15:00	7.1429	7.14327	7.14118	7.14257	0	0	0
2024.01.02	12:30:00	7.14257	7.14257	7.13968	7.13968	0	0	0
2024.01.02	12:45:00	7.13973	7.1409	7.1384	7.14067	0	0	0
2024.01.02	13:00:00	7.14076	7.14337	7.13812	7.14328	0	0	0
2024.01.02	13:15:00	7.14328	7.14424	7.14319	7.1442	0	0	0
2024.01.02	13:30:00	7.1442	7.14659	7.14383	7.14632	0	0	0
2024.01.02	13:45:00	7.14632	7.14662	7.14532	7.14655	0	0	0
2024.01.02	14:00:00	7.14659	7.14755	7.14613	7.14715	0	0	0
2024.01.02	14:15:00	7.14715	7.14762	7.1462	7.147	0	0	0
2024.01.02	14:30:00	7.14701	7.14769	7.14686	7.14754	0	0	0
2024.01.02	14:45:00	7.14754	7.14885	7.14711	7.14866	0	0	0
2024.01.02	15:00:00	7.14871	7.15008	7.14839	7.14939	0	0	0
2024.01.02	15:15:00	7.14939	7.14945	7.1472	7.14796	0	0	0
2024.01.02	15:30:00	7.14796	7.14807	7.14314	7.14322	0	0	0
2024.01.02	15:45:00	7.14323	7.14808	7.14316	7.14808	0	0	0
2024.01.02	16:00:00	7.14808	7.14934	7.14624	7.14862	0	0	0
2024.01.02	16:15:00	7.14862	7.14866	7.14362	7.14518	0	0	0
2024.01.02	16:30:00	7.14522	7.14823	7.14347	7.14561	0	0	0
2024.01.02	16:45:00	7.14561	7.14813	7.14242	7.14302	0	0	0
2024.01.02	17:00:00	7.1429	7.14822	7.14267	7.14666	0	0	0
2024.01.02	17:15:00	7.14661	7.15021	7.14656	7.14942	0	0	0
2024.01.02	17:30:00	7.1496	7.15412	7.14958	7.15365	0	0	0
2024.01.02	17:45:00	7.15367	7.15391	7.15141	7.15194	0	0	0
2024.01.02	18:00:00	7.15196	7.15196	7.14282	7.14496	0	0	0
2024.01.02	18:15:00	7.14503	7.14802	7.14503	7.1475	0	0	0
2024.01.02	18:30:00	7.14748	7.14966	7.14747	7.14863	0	0	0
2024.01.02	18:45:00	7.14863	7.14869	7.1455	7.14653	0	0	0
2024.01.02	19:00:00	7.14653	7.14851	7.14587	7.14848	0	0	0
2024.01.02	19:15:00	7.14848	7.15028	7.14823	7.14989	0	0	0
2024.01.02	19:30:00	7.14989	7.15061	7.14774	7.14827	0	0	0
2024.01.02	19:45:00	7.14827	7.15108	7.14822	7.15064	0	0	0
2024.01.02	20:00:00	7.15064	7.15149	7.14862	7.14873	0	0	0
2024.01.02	20:15:00	7.14873	7.14893	7.14618	7.14725	0	0	0
2024.01.02	20:30:00	7.1473	7.15033	7.1473	7.14966	0	0	0
2024.01.02	20:45:00	7.14975	7.15069	7.1488	7.14881	0	0	0
2024.01.02	21:00:00	7.1489	7.1504	7.14865	7.14982	0	0	0
2024.01.02	21:15:00	7.14982	7.151	7.14968	7.14981	0	0	0
2024.01.02	21:30:00	7.14981	7.15107	7.1498	7.15041	0	0	0
2024.01.02	21:45:00	7.15041	7.15174	7.15041	7.15174	0	0	0
2024.01.02	22:00:00	7.15174	7.15229	7.15149	7.15199	0	0	0
2024.01.02	22:15:00	7.15199	7.15201	7.15033	7.15072	0	0	0
2024.01.02	22:30:00	7.15072	7.1511	7.14945	7.15007	0	0	0
2024.01.02	22:45:00	7.15007	7.1514	7.14919	7.15133	0	0	0
2024.01.02	23:00:00	7.15124	7.15143	7.14935	7.14935	0	0	0
2024.01.02	23:15:00	7.14935	7.15001	7.14859	7.14979	0	0	0
2024.01.02	23:30:00	7.14973	7.15096	7.14955	7.15075	0	0	0
2024.01.02	23:45:00	7.15068	7.15151	7.147	7.1471	0	0	0
2024.01.03	00:00:00	7.1471	7.14771	7.14585	7.14592	0	0	0
2024.01.03	00:15:00	7.147	7.148	7.14592	7.14748	0	0	0
2024.01.03	00:30:00	7.14748	7.1482	7.14748	7.1477	0	0	0
2024.01.03	00:45:00	7.14758	7.14891	7.14703	7.14758	0	0	0
2024.01.03	01:00:00	7.14815	7.14913	7.14596	7.14866	0	0	0
2024.01.03	01:15:00	7.14866	7.1499	7.14866	7.14948	0	0	0
2024.01.03	01:30:00	7.1496	7.15076	7.1489	7.15004	0	0	0
2024.01.03	01:45:00	7.15004	7.15135	7.1498	7.15034	0	0	0
2024.01.03	02:00:00	7.15034	7.15089	7.14937	7.14952	0	0	0
2024.01.03	02:15:00	7.14952	7.14952	7.14484	7.14488	0	0	0
2024.01.03	02:30:00	7.14488	7.1457	7.14222	7.14568	0	0	0
2024.01.03	02:45:00	7.14568	7.1473	7.14514	7.1466	0	0	0
2024.01.03	03:00:00	7.1466	7.14763	7.14488	7.14488	0	0	0
2024.01.03	03:15:00	7.14478	7.15734	7.14478	7.15193	0	0	0
2024.01.03	03:30:00	7.15193	7.15464	7.14922	7.15164	0	0	0
2024.01.03	03:45:00	7.15164	7.15821	7.15108	7.15727	0	0	0
2024.01.03	04:00:00	7.15733	7.15915	7.15443	7.15569	0	0	0
2024.01.03	04:15:00	7.15565	7.15854	7.1556	7.15773	0	0	0
2024.01.03	04:30:00	7.15772	7.15839	7.1521	7.15424	0	0	0
2024.01.03	04:45:00	7.15424	7.15474	7.15099	7.15251	0	0	0
2024.01.03	05:00:00	7.15251	7.15403	7.15099	7.15365	0	0	0
2024.01.03	05:15:00	7.15365	7.15406	7.15247	7.15247	0	0	0
2024.01.03	05:30:00	7.15247	7.1536	7.15183	7.15216	0	0	0
2024.01.03	05:45:00	7.15217	7.15222	7.15079	7.15119	0	0	0
2024.01.03	06:00:00	7.15119	7.15284	7.15119	7.15231	0	0	0
2024.01.03	06:15:00	7.15231	7.15287	7.15221	7.15221	0	0	0
2024.01.03	06:30:00	7.15221	7.15227	7.15146	7.1519	0	0	0
2024.01.03	06:45:00	7.1519	7.15278	7.15162	7.15191	0	0	0
2024.01.03	07:00:00	7.15193	7.15259	7.15086	7.15131	0	0	0
2024.01.03	07:15:00	7.15131	7.15138	7.14858	7.14941	0	0	0
2024.01.03	07:30:00	7.14943	7.15084	7.14759	7.14917	0	0	0
2024.01.03	07:45:00	7.14917	7.15059	7.14859	7.14973	0	0	0
2024.01.03	08:00:00	7.14988	7.15075	7.14677	7.14774	0	0	0
2024.01.03	08:15:00	7.14774	7.14879	7.14483	7.14533	0	0	0
2024.01.03	08:30:00	7.14532	7.14715	7.14532	7.14697	0	0	0
2024.01.03	08:45:00	7.14699	7.14722	7.1429	7.14335	0	0	0
2024.01.03	09:00:00	7.14344	7.14827	7.14309	7.14766	0	0	0
2024.01.03	09:15:00	7.14766	7.14978	7.1474	7.14922	0	0	0
2024.01.03	09:30:00	7.1492	7.15018	7.14738	7.15014	0	0	0
2024.01.03	09:45:00	7.15014	7.15062	7.14935	7.14971	0	0	0
2024.01.03	10:00:00	7.14971	7.15004	7.14754	7.1476	0	0	0
2024.01.03	10:15:00	7.14762	7.15273	7.14701	7.15238	0	0	0
2024.01.03	10:30:00	7.15243	7.15293	7.15	7.15117	0	0	0
2024.01.03	10:45:00	7.15117	7.15237	7.14915	7.1511	0	0	0
2024.01.03	11:00:00	7.15114	7.15496	7.15074	7.1535	0	0	0
2024.01.03	11:15:00	7.15363	7.15534	7.15353	7.15374	0	0	0
2024.01.03	11:30:00	7.15374	7.15376	7.15213	7.15347	0	0	0
2024.01.03	11:45:00	7.15344	7.15452	7.15274	7.15349	0	0	0
2024.01.03	12:00:00	7.15349	7.15464	7.15299	7.15439	0	0	0
2024.01.03	12:15:00	7.15441	7.15631	7.15439	7.1558	0	0	0
2024.01.03	12:30:00	7.1558	7.15645	7.15493	7.15571	0	0	0
2024.01.03	12:45:00	7.15574	7.15574	7.15376	7.15391	0	0	0
2024.01.03	13:00:00	7.15391	7.1558	7.15358	7.15522	0	0	0
2024.01.03	13:15:00	7.15522	7.15634	7.15522	7.15583	0	0	0
2024.01.03	13:30:00	7.15583	7.15702	7.15552	7.15668	0	0	0
2024.01.03	13:45:00	7.15668	7.1576	7.15641	7.15719	0	0	0
2024.01.03	14:00:00	7.15708	7.15839	7.15646	7.15646	0	0	0
2024.01.03	14:15:00	7.15646	7.15816	7.15455	7.15728	0	0	0
2024.01.03	14:30:00	7.15728	7.15824	7.15687	7.1571	0	0	0
2024.01.03	14:45:00	7.1571	7.15768	7.15466	7.15573	0	0	0
2024.01.03	15:00:00	7.15573	7.15938	7.15573	7.1576	0	0	0
2024.01.03	15:15:00	7.1576	7.15928	7.15543	7.15547	0	0	0
2024.01.03	15:30:00	7.15544	7.15881	7.15373	7.15809	0	0	0
2024.01.03	15:45:00	7.15809	7.15986	7.15751	7.15799	0	0	0
2024.01.03	16:00:00	7.15799	7.16061	7.15651	7.16061	0	0	0
2024.01.03	16:15:00	7.16061	7.16379	7.15986	7.16363	0	0	0
2024.01.03	16:30:00	7.16362	7.16494	7.16167	7.16265	0	0	0
2024.01.03	16:45:00	7.16265	7.1652	7.16189	7.16464	0	0	0
2024.01.03	17:00:00	7.16472	7.16524	7.15605	7.16434	0	0	0
2024.01.03	17:15:00	7.16414	7.16736	7.16376	7.16687	0	0	0
2024.01.03	17:30:00	7.16696	7.17058	7.16531	7.16944	0	0	0
2024.01.03	17:45:00	7.16943	7.17218	7.16943	7.17064	0	0	0
2024.01.03	18:00:00	7.17064	7.17152	7.16874	7.1689	0	0	0
2024.01.03	18:15:00	7.1689	7.1689	7.16613	7.16642	0	0	0
2024.01.03	18:30:00	7.16641	7.16739	7.16423	7.16635	0	0	0
2024.01.03	18:45:00	7.16638	7.16779	7.16594	7.1664	0	0	0
2024.01.03	19:00:00	7.16634	7.16749	7.16606	7.167	0	0	0
2024.01.03	19:15:00	7.16703	7.1675	7.16623	7.16685	0	0	0
2024.01.03	19:30:00	7.16675	7.16718	7.16631	7.16642	0	0	0
2024.01.03	19:45:00	7.1664	7.1664	7.16237	7.16249	0	0	0
2024.01.03	20:00:00	7.16248	7.16285	7.16199	7.16264	0	0	0
2024.01.03	20:15:00	7.16264	7.16305	7.16214	7.16263	0	0	0
2024.01.03	20:30:00	7.16262	7.16445	7.16262	7.16406	0	0	0
2024.01.03	20:45:00	7.16408	7.16643	7.16318	7.16487	0	0	0
2024.01.03	21:00:00	7.16487	7.17089	7.16446	7.17024	0	0	0
2024.01.03	21:15:00	7.17021	7.17033	7.16209	7.16266	0	0	0
2024.01.03	21:30:00	7.16275	7.16551	7.16226	7.16366	0	0	0
2024.01.03	21:45:00	7.16366	7.16498	7.16305	7.16401	0	0	0
2024.01.03	22:00:00	7.16401	7.16431	7.1634	7.16359	0	0	0
2024.01.03	22:15:00	7.16362	7.1648	7.16333	7.16425	0	0	0
2024.01.03	22:30:00	7.16425	7.16473	7.1639	7.16457	0	0	0
2024.01.03	22:45:00	7.16457	7.16472	7.16321	7.16351	0	0	0
2024.01.03	23:00:00	7.16355	7.16416	7.1627	7.16314	0	0	0
2024.01.03	23:15:00	7.1631	7.16355	7.163	7.16308	0	0	0
2024.01.03	23:30:00	7.16308	7.16325	7.16291	7.16325	0	0	0
2024.01.03	23:45:00	7.16325	7.16451	7.1621	7.1626	0	0	0
2024.01.04	00:00:00	7.16298	7.1652	7.16298	7.165	0	0	0
2024.01.04	00:15:00	7.16458	7.16503	7.16458	7.16458	0	0	0
